sentence_id,text,aspect_terms,aspect_categories
780#1,Bu juda mazali va o'ziga xos ta'mi.,"[{'from': 29, 'polarity': 'positive', 'term': ""ta'mi"", 'to': 34}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
351#1,Atrof-muhit va sharoitlar ajoyib!,"[{'from': 0, 'polarity': 'positive', 'term': 'Atrof-muhit', 'to': 11}
 {'from': 15, 'polarity': 'positive', 'term': 'sharoitlar', 'to': 25}]","[{'category': 'muhit', 'polarity': 'positive'}]"
2437#1,Zo'r,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
2981#5,Xotin xursand bo'ldi.,"[{'from': 0, 'polarity': 'positive', 'term': 'Xotin', 'to': 5}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
253#6,Unutilmas tajriba!,"[{'from': 10, 'polarity': 'positive', 'term': 'tajriba', 'to': 17}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
1704#1,"Juda yaxshi joy, yaxshi ovqatlar.","[{'from': 12, 'polarity': 'positive', 'term': 'joy', 'to': 15}
 {'from': 24, 'polarity': 'positive', 'term': 'ovqatlar', 'to': 32}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
2883#2,"To'g'risini aytganda, yon-atrofda ta'mirlash ishlari ketayotgan edi, lekin, albatta, ularning aybi yo'q, shuning uchun ball 4.","[{'from': 22, 'polarity': 'neutral', 'term': 'yon-atrofda', 'to': 33}]","[{'category': 'muhit', 'polarity': 'neutral'}]"
2411#2,Hammasi ajoyib edi.,"[{'from': 0, 'polarity': 'positive', 'term': 'Hammasi', 'to': 7}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
1741#1,Yaxshi joy taomlari mazali faqat xizmat ancha sekin.,"[{'from': 7, 'polarity': 'positive', 'term': 'joy', 'to': 10}
 {'from': 11, 'polarity': 'positive', 'term': 'taomlari', 'to': 19}
 {'from': 33, 'polarity': 'negative', 'term': 'xizmat', 'to': 39}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'negative'}]"
2085#2,Yaxshisini sinab ko'ring do'stlar...,"[{'from': 25, 'polarity': 'neutral', 'term': ""do'stlar"", 'to': 33}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
332#2,Toshkentdagi eng yaxshi restoranlardan biri,"[{'from': 24, 'polarity': 'positive', 'term': 'restoranlardan', 'to': 38}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
1390#1,"Palov sovuq, osh sovuq.","[{'from': 0, 'polarity': 'negative', 'term': 'Palov', 'to': 5}]","[{'category': 'ovqat', 'polarity': 'negative'}]"
2454#2,"Men ushbu muassasani tavsiya qilaman) atmosfera, ovqatlanish va xizmat uchun 5+","[{'from': 10, 'polarity': 'positive', 'term': 'muassasani', 'to': 20}
 {'from': 38, 'polarity': 'positive', 'term': 'atmosfera', 'to': 47}
 {'from': 49, 'polarity': 'positive', 'term': 'ovqatlanish', 'to': 60}
 {'from': 65, 'polarity': 'positive', 'term': 'xizmat', 'to': 71}]","[{'category': 'boshqalar', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'positive'}]"
2691#3,Biz tovuqli uch xil kori taomiga buyurtma berdik.,"[{'from': 4, 'polarity': 'neutral', 'term': 'tovuqli uch xil kori taomiga', 'to': 32}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
1328#1,bolalar bayramlari uchun yaxshi qulay joy,"[{'from': 38, 'polarity': 'positive', 'term': 'joy', 'to': 41}]","[{'category': 'muhit', 'polarity': 'positive'}]"
2307#4,Deyarli irlandcha.,"[{'from': 8, 'polarity': 'neutral', 'term': 'irlandcha', 'to': 17}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
939#11,SUPER.,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
2858#1,Bizga non olib kelguncha hammasi yaxshi edi,"[{'from': 6, 'polarity': 'negative', 'term': 'non', 'to': 9}]","[{'category': 'ovqat', 'polarity': 'negative'}]"
2939#5,Repertuar va vokal ajoyib.,"[{'from': 0, 'polarity': 'positive', 'term': 'Repertuar va vokal', 'to': 18}]","[{'category': 'xizmat', 'polarity': 'positive'}]"
1930#3,Xizmat yo'q.,"[{'from': 0, 'polarity': 'negative', 'term': 'Xizmat', 'to': 8}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
1173#3,Deraza yaqinidagi joylarni bron qilish kerak; hali norin uchun buyrutma berish kerak.,"[{'from': 51, 'polarity': 'neutral', 'term': 'norin uchun buyrutma', 'to': 71}
 {'from': 27, 'polarity': 'neutral', 'term': 'bron qilish kerak', 'to': 44}]","[{'category': 'ovqat', 'polarity': 'neutral'}
 {'category': 'muhit', 'polarity': 'neutral'}]"
738#1,Juda yaxshi,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
2773#1,Ularda uncha shirin bo'lmagan uyda tayyorlangan tetiklantiruvchi limonad bor!,"[{'from': 48, 'polarity': 'neutral', 'term': 'tetiklantiruvchi limonad', 'to': 72}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
856#1,Toshkentdagi eng yaxshi osh,"[{'from': 24, 'polarity': 'positive', 'term': 'osh', 'to': 27}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1466#2,Muhiti zo'r.,"[{'from': 0, 'polarity': 'positive', 'term': 'Muhiti', 'to': 6}]","[{'category': 'muhit', 'polarity': 'positive'}]"
813#1,osh ajoyib.,"[{'from': 0, 'polarity': 'positive', 'term': 'osh', 'to': 3}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2736#1,Ofetsiantlarga omad,"[{'from': 0, 'polarity': 'positive', 'term': 'Ofetsiantlarga', 'to': 14}]","[{'category': 'xizmat', 'polarity': 'positive'}]"
481#1,"U yerga bormaslik kerak, men u yerda farel baliq yedim va zaharlandim","[{'from': 37, 'polarity': 'negative', 'term': 'farel baliq', 'to': 48}]","[{'category': 'ovqat', 'polarity': 'negative'}]"
835#2,Men kun bo'yi bir likopchani iste'mol qildim.,"[{'from': 18, 'polarity': 'neutral', 'term': 'likopchani', 'to': 28}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
2710#2,Tug'ilgan kunlar va to'ylar kabi korporativ yoki boshqa tadbirlar uchun juda mos keladi.,"[{'from': 0, 'polarity': 'positive', 'term': ""Tug'ilgan kunlar va to'ylar kabi korporativ yoki boshqa tadbirlar"", 'to': 65}]","[{'category': 'muhit', 'polarity': 'positive'}]"
1897#1,ajoyib,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
2528#3,Kichik kompaniya uchun alohida xonalar mavjud.,"[{'from': 31, 'polarity': 'positive', 'term': 'xonalar', 'to': 38}]","[{'category': 'muhit', 'polarity': 'positive'}]"
1405#1,Ajoyib dizayn va bir xil darajada yaxshi ovqatga ega zamonaviy muassasa.,"[{'from': 41, 'polarity': 'positive', 'term': 'ovqatga', 'to': 48}
 {'from': 63, 'polarity': 'positive', 'term': 'muassasa', 'to': 71}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
1091#1,Mazali taomlari bilan yaxshi joy!,"[{'from': 7, 'polarity': 'positive', 'term': 'taomlari', 'to': 15}
 {'from': 29, 'polarity': 'positive', 'term': 'joy', 'to': 32}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}]"
2384#2,"Ammo madaniy dastur, albatta, zerikarli.","[{'from': 5, 'polarity': 'negative', 'term': 'madaniy dastur', 'to': 19}]","[{'category': 'boshqalar', 'polarity': 'negative'}]"
1440#1,Ushbu muassasa uchun narxlar odatda o'rtachadan yuqori.,"[{'from': 6, 'polarity': 'negative', 'term': 'muassasa', 'to': 14}]","[{'category': 'narx', 'polarity': 'negative'}]"
117#6,Issiq atmosfera.,"[{'from': 6, 'polarity': 'positive', 'term': 'atmosfera', 'to': 15}]","[{'category': 'muhit', 'polarity': 'positive'}]"
2106#1,"Joyning o'zi yoqimli, lekin juda zerikarli va oddiy, yangi narsa qilishingiz kerak ...","[{'from': 0, 'polarity': 'conflict', 'term': 'Joyning', 'to': 7}]","[{'category': 'muhit', 'polarity': 'conflict'}]"
2945#1,"Salat yangi tayyorlanmagan, boshqa kamchiliklari yo'q, garchi mening didimga mos kelmasa ham.","[{'from': 62, 'polarity': 'negative', 'term': 'mening didimga', 'to': 76}
 {'from': 0, 'polarity': 'negative', 'term': 'Salat', 'to': 5}]","[{'category': 'boshqalar', 'polarity': 'negative'}
 {'category': 'ovqat', 'polarity': 'negative'}]"
660#1,Yaxshi,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
2143#1,Taassurot qoldirmadi.,"[{'from': 0, 'polarity': 'negative', 'term': 'Taassurot', 'to': 9}]","[{'category': 'boshqalar', 'polarity': 'negative'}]"
1687#2,Mazali,[],"[{'category': 'ovqat', 'polarity': 'positive'}]"
625#1,Yaxshi restoran.,"[{'from': 7, 'polarity': 'positive', 'term': 'restoran', 'to': 15}]","[{'category': 'muhit', 'polarity': 'positive'}]"
2900#1,"Qanday bo'lmasin, bir kechada asossiz mashhur jamoat joyi unchalik aniq bo'lmagan ""hashamatli joyga"" aylandi.","[{'from': 46, 'polarity': 'neutral', 'term': 'jamoat joy', 'to': 56}]","[{'category': 'muhit', 'polarity': 'neutral'}]"
2592#1,"Restaran - Toshkentning qoq markazida joylashgan, Oybek 65-da joylashgan, hind oshxonasini sevuvchilar tashrif buyurishi shart.","[{'from': 74, 'polarity': 'positive', 'term': 'hind oshxonasini', 'to': 90}
 {'from': 0, 'polarity': 'neutral', 'term': 'Restaran', 'to': 8}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
2926#2,"Yuqori standartlar, tezkor xizmat, mazali taomlar, qahva va shirinliklar.","[{'from': 7, 'polarity': 'positive', 'term': 'standartlar', 'to': 18}
 {'from': 27, 'polarity': 'positive', 'term': 'xizmat', 'to': 33}
 {'from': 42, 'polarity': 'positive', 'term': 'taomlar', 'to': 49}]","[{'category': 'boshqalar', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
1270#1,Bolalar va ularning ota-onalari uchun Toshkentdagi eng yaxshi joy!,"[{'from': 62, 'polarity': 'positive', 'term': 'joy', 'to': 65}]","[{'category': 'muhit', 'polarity': 'positive'}]"
2963#2,Narxlar Internetda ko'rsatilganidan (saytni eslay olmayman) yuqoriroq,"[{'from': 0, 'polarity': 'negative', 'term': 'Narxlar', 'to': 7}]","[{'category': 'narx', 'polarity': 'negative'}]"
646#2,"Hammasi oshni targ'ib qilingan, lekin yaxshi joy.","[{'from': 46, 'polarity': 'positive', 'term': 'joy', 'to': 49}
 {'from': 0, 'polarity': 'neutral', 'term': 'Hammasi', 'to': 7}]","[{'category': 'ovqat', 'polarity': 'neutral'}
 {'category': 'muhit', 'polarity': 'positive'}]"
297#2,"Men hamma narsani tushunaman, bron qilish, eksklyuzivlik tuyg'usini yaratish, lekin qachon to'xtash kerakligini bilishingiz kerak!","[{'from': 30, 'polarity': 'neutral', 'term': 'bron', 'to': 34}
 {'from': 57, 'polarity': 'neutral', 'term': ""tuyg'usini"", 'to': 67}
 {'from': 10, 'polarity': 'neutral', 'term': 'narsani', 'to': 17}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
1235#1,Qo'ng'iroqlarga javob berishmaydi.,"[{'from': 0, 'polarity': 'negative', 'term': ""Qo'ng'iroqlarga"", 'to': 15}]","[{'category': 'boshqalar', 'polarity': 'negative'}]"
1518#1,Salat eng mazali narsa),"[{'from': 0, 'polarity': 'positive', 'term': 'Salat', 'to': 5}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1641#4,Va taom ham mazali.,"[{'from': 3, 'polarity': 'positive', 'term': 'taom', 'to': 7}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2299#2,Ichkari biroz qorong'i.,"[{'from': 0, 'polarity': 'neutral', 'term': 'Ichkari', 'to': 7}]","[{'category': 'muhit', 'polarity': 'neutral'}]"
2648#2,"Iltimos, tasdiqlang",[],"[{'category': 'boshqalar', 'polarity': 'neutral'}]"
3#3,Black cod eng mazali taom edi!,"[{'from': 0, 'polarity': 'positive', 'term': 'Black', 'to': 5}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
305#9,"Biz, ehtimol, bu kerak, deb taxmin qildik, lekin ba'zi noto'g'ri tushunchalar mavjud.",[],"[{'category': 'boshqalar', 'polarity': 'negative'}]"
108#1,Yaxshi !,"[{'from': 0, 'polarity': 'positive', 'term': 'Yaxshi', 'to': 6}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
1706#3,Biz bu erda barcha taomlarni sinab ko'rdik va eng mazalilarini tanladik.,"[{'from': 7, 'polarity': 'positive', 'term': 'erda', 'to': 11}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
251#4,Menyuda mamlakatning turli burchaklaridan turli xil o'zbek taomlari mavjud.,"[{'from': 0, 'polarity': 'positive', 'term': 'Menyuda', 'to': 7}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1951#2,"Biz 1 pide buyurtma qildik, bir soat kutdik!","[{'from': 6, 'polarity': 'negative', 'term': 'pide', 'to': 10}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
2323#5,"Menda sous yo'q edi, shuning uchun men achchiq chili sousini so'radim.","[{'from': 39, 'polarity': 'neutral', 'term': 'achchiq chili sousini', 'to': 60}
 {'from': 6, 'polarity': 'negative', 'term': 'sous', 'to': 10}]","[{'category': 'ovqat', 'polarity': 'negative'}]"
561#1,Ajoyib mazali,[],"[{'category': 'ovqat', 'polarity': 'positive'}]"
2207#1,Bu yerda chekishadi.,"[{'from': 9, 'polarity': 'negative', 'term': 'chekishadi.', 'to': 20}]","[{'category': 'muhit', 'polarity': 'negative'}]"
1157#2,Do'stona ofitsiantlar!,"[{'from': 9, 'polarity': 'positive', 'term': 'ofitsiantlar', 'to': 21}]","[{'category': 'xizmat', 'polarity': 'positive'}]"
2693#1,"Men oilamni shu yerga olib bordim va afsuski, Toshkentdagi qimmat hind restoranidan kutganim bo‘lmadi.","[{'from': 66, 'polarity': 'negative', 'term': 'hind restoranidan', 'to': 83}
 {'from': 16, 'polarity': 'negative', 'term': 'yerga', 'to': 21}]","[{'category': 'boshqalar', 'polarity': 'negative'}
 {'category': 'ovqat', 'polarity': 'negative'}]"
1914#2,lekin ularda atirgullarz qimmatli edi)),"[{'from': 13, 'polarity': 'negative', 'term': 'atirgullarz', 'to': 24}]","[{'category': 'narx', 'polarity': 'negative'}]"
524#1,Mazali taomlar,"[{'from': 7, 'polarity': 'positive', 'term': 'taomlar', 'to': 14}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2242#1,"Qiziqarli joy, mazali va arzon pivo.","[{'from': 10, 'polarity': 'positive', 'term': 'joy', 'to': 13}
 {'from': 31, 'polarity': 'positive', 'term': 'pivo', 'to': 35}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'narx', 'polarity': 'positive'}]"
990#2,Aslida u yerda hech qanday avtovokzal yo'q edi,"[{'from': 27, 'polarity': 'negative', 'term': 'avtovokzal', 'to': 37}]","[{'category': 'boshqalar', 'polarity': 'negative'}]"
1171#1,"Kim an'anaviy va mazali taom izlasa, bu erga keling.","[{'from': 24, 'polarity': 'positive', 'term': 'taom', 'to': 28}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1932#1,Ajoyib turk taomlari,"[{'from': 12, 'polarity': 'positive', 'term': 'taomlari', 'to': 20}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
502#2,To'g'ri mahalliy taom.,"[{'from': 17, 'polarity': 'positive', 'term': 'taom', 'to': 21}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1134#1,"Xizmat 0, ovqat 0, soqov ofitsiantlar xizmat qilishni xohlamaydilar.","[{'from': 0, 'polarity': 'negative', 'term': 'Xizmat', 'to': 6}
 {'from': 10, 'polarity': 'negative', 'term': 'ovqat', 'to': 15}
 {'from': 25, 'polarity': 'negative', 'term': 'ofitsiantlar', 'to': 37}]","[{'category': 'xizmat', 'polarity': 'negative'}
 {'category': 'ovqat', 'polarity': 'negative'}]"
1977#1,"Xizmat dabdala, ofitsiantlar befarq","[{'from': 16, 'polarity': 'negative', 'term': 'ofitsiantlar', 'to': 28}
 {'from': 0, 'polarity': 'negative', 'term': 'Xizmat', 'to': 6}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
196#2,Va tez va yaxshi xizmat qildi.,"[{'from': 17, 'polarity': 'positive', 'term': 'xizmat', 'to': 23}]","[{'category': 'xizmat', 'polarity': 'positive'}]"
2221#2,"Narxlar baland bo'lsa-da, lekin munosib joy","[{'from': 40, 'polarity': 'positive', 'term': 'joy', 'to': 43}
 {'from': 0, 'polarity': 'negative', 'term': 'Narxlar', 'to': 7}]","[{'category': 'narx', 'polarity': 'negative'}
 {'category': 'muhit', 'polarity': 'positive'}]"
2610#7,Tayyorlash uchun ko'p vaqt ketadi.,"[{'from': 17, 'polarity': 'neutral', 'term': ""ko'p vaqt"", 'to': 26}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
1619#1,"Alohida kabina yo'q, faqat 8 o'rindiq.","[{'from': 8, 'polarity': 'negative', 'term': 'kabina', 'to': 14}]","[{'category': 'muhit', 'polarity': 'negative'}]"
970#7,Ajoyib tajriba.,"[{'from': 7, 'polarity': 'positive', 'term': 'tajriba', 'to': 14}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
209#1,"Ovqat unchalik mazali emas, bu diskoteka va restorani orasidagi joy.","[{'from': 64, 'polarity': 'negative', 'term': 'joy', 'to': 67}
 {'from': 0, 'polarity': 'negative', 'term': 'Ovqat', 'to': 5}]","[{'category': 'muhit', 'polarity': 'negative'}
 {'category': 'ovqat', 'polarity': 'negative'}]"
92#8,QO'O'L MAKABIR E'tiborsiz 👎🏻👎🏻👎🏻👎🏻,[],"[{'category': 'xizmat', 'polarity': 'negative'}]"
913#4,"Men yana yemoqchi edim, ammo organizm etarli ekanligini aytadi.","[{'from': 30, 'polarity': 'neutral', 'term': 'organizm', 'to': 38}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
2636#4,"Biz ""paneer yog'li masala"", ""saag paneer"", ""sarimsoqli naan"", ""za'faron guruch"" va bir nechta pivo buyurtma qildik.","[{'from': 5, 'polarity': 'neutral', 'term': 'paneer yog\'li masala"", ""saag paneer"", ""sarimsoqli naan"", ""za\'faron guruch""', 'to': 79}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
1895#3,Rahmat!,[],"[{'category': 'boshqalar', 'polarity': 'neutral'}]"
1853#1,Mazali taom!,"[{'from': 7, 'polarity': 'positive', 'term': 'taom', 'to': 11}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1010#1,👍💞🥰😘,"[{'from': 0, 'polarity': 'positive', 'term': '👍💞🥰😘', 'to': 4}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
2305#2,Yoqimli va xushmuomala xodimlar.,"[{'from': 23, 'polarity': 'positive', 'term': 'xodimlar', 'to': 31}]","[{'category': 'xizmat', 'polarity': 'positive'}]"
24#3,Og‘zimda go‘sht erib ketdi.,"[{'from': 9, 'polarity': 'positive', 'term': 'go‘sht', 'to': 15}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
463#2,"Service, ovkat hamasi super.","[{'from': 0, 'polarity': 'positive', 'term': 'Service', 'to': 7}
 {'from': 9, 'polarity': 'positive', 'term': 'ovkat', 'to': 14}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'positive'}]"
1816#1,"Yaxshi joy, oilam bilan keldim, xizmat yaxshi.","[{'from': 7, 'polarity': 'positive', 'term': 'joy', 'to': 10}
 {'from': 32, 'polarity': 'positive', 'term': 'xizmat', 'to': 38}]","[{'category': 'xizmat', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}]"
2791#2,Biz eshikka yaqin stolga o'tirdik va biz muzlab qoldik.,"[{'from': 4, 'polarity': 'negative', 'term': 'eshikka yaqin stolga', 'to': 24}]","[{'category': 'muhit', 'polarity': 'negative'}]"
1055#1,Tamarlanadalar mast edi,"[{'from': 0, 'polarity': 'neutral', 'term': 'Tamarlanadalar', 'to': 14}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
1484#1,Ular MasterCard olishmoqda.,"[{'from': 5, 'polarity': 'neutral', 'term': 'MasterCard', 'to': 15}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
426#2,maslahat beraman...,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
2242#5,"Ular pivo uchun basturmaga ham buyurtma berishdi, hisob 20 000 bo'ldi, menyudagi narxi 17 000 edi.","[{'from': 50, 'polarity': 'negative', 'term': 'hisob', 'to': 55}
 {'from': 16, 'polarity': 'neutral', 'term': 'basturmaga', 'to': 26}]","[{'category': 'narx', 'polarity': 'negative'}
 {'category': 'ovqat', 'polarity': 'neutral'}]"
892#1,Ular ajoyib sho'rva tayyorlaydilar.,"[{'from': 12, 'polarity': 'positive', 'term': ""sho'rva"", 'to': 19}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2366#1,"Mazali pivo, ajoyib atmosfera, mazali taom, lekin juda qimmat","[{'from': 20, 'polarity': 'positive', 'term': 'atmosfera', 'to': 29}
 {'from': 38, 'polarity': 'positive', 'term': 'taom', 'to': 42}
 {'from': 7, 'polarity': 'positive', 'term': 'pivo', 'to': 11}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'narx', 'polarity': 'negative'}
 {'category': 'muhit', 'polarity': 'positive'}]"
400#1,Oziq-ovqat yaxshi xizmat yaxshi.,"[{'from': 18, 'polarity': 'positive', 'term': 'xizmat', 'to': 24}
 {'from': 0, 'polarity': 'positive', 'term': 'Oziq-ovqat', 'to': 10}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'positive'}]"
2693#5,Biroz muhit yaratish uchun hind musiqasini qo'yishni so'radim.,"[{'from': 6, 'polarity': 'positive', 'term': 'muhit', 'to': 11}]","[{'category': 'muhit', 'polarity': 'positive'}]"
2323#1,Men shunchaki pivo ichmoqchiman.,"[{'from': 14, 'polarity': 'neutral', 'term': 'pivo', 'to': 18}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
445#1,"Xizmat, e'tibor va taomlar super","[{'from': 19, 'polarity': 'positive', 'term': 'taomlar', 'to': 26}
 {'from': 0, 'polarity': 'positive', 'term': 'Xizmat', 'to': 6}]","[{'category': 'xizmat', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
368#1,"Yaxshi joy, mazali taomlar, lekin narxlar biroz og'riqli.","[{'from': 7, 'polarity': 'positive', 'term': 'joy', 'to': 10}
 {'from': 19, 'polarity': 'positive', 'term': 'taomlar', 'to': 26}
 {'from': 34, 'polarity': 'negative', 'term': 'narxlar', 'to': 41}]","[{'category': 'xizmat', 'polarity': 'negative'}
 {'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
2386#4,"Menyuga qaradim, Mahalliy taomlarni sinab ko'rmadim, qo'zichoq jiz degan taom buyurtma berdim, bu qo'zichoq pirzola edi.","[{'from': 17, 'polarity': 'neutral', 'term': 'Mahalliy taomlarni', 'to': 35}
 {'from': 98, 'polarity': 'neutral', 'term': ""qo'zichoq pirzola"", 'to': 115}
 {'from': 53, 'polarity': 'neutral', 'term': ""qo'zichoq jiz"", 'to': 66}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
970#3,"Ularda faqat palov bor shekilli, baribir biz xohlagan narsa, keyin salat, suv, choy, non va hokazo... Menyu bor edi, shuning uchun ular ko'proq bo'lishi mumkin, lekin u faqat o'zbek tilida.","[{'from': 67, 'polarity': 'neutral', 'term': 'salat, suv, choy, non va hokazo', 'to': 98}
 {'from': 102, 'polarity': 'neutral', 'term': 'Menyu', 'to': 107}
 {'from': 13, 'polarity': 'neutral', 'term': 'palov', 'to': 18}]","[{'category': 'boshqalar', 'polarity': 'neutral'}
 {'category': 'ovqat', 'polarity': 'neutral'}]"
1778#1,Do'stlar bilan kechki ovqat uchun ajoyib joy !!,"[{'from': 41, 'polarity': 'positive', 'term': 'joy', 'to': 44}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1464#4,"Menga berry muzli choy yoqdi, u siqilmaydi, yaxshi tetiklantiradi.","[{'from': 6, 'polarity': 'positive', 'term': 'berry muzli choy', 'to': 22}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2428#2,Juda yaxshi restoran!!,"[{'from': 12, 'polarity': 'positive', 'term': 'restoran', 'to': 20}]","[{'category': 'muhit', 'polarity': 'positive'}]"
1421#4,Juda chiroyli jonli musiqa.,"[{'from': 14, 'polarity': 'positive', 'term': 'jonli musiqa', 'to': 26}]","[{'category': 'muhit', 'polarity': 'positive'}]"
2004#2,"Agar siz turk taomlarini xohlasangiz, bu yerga kelishingiz mumkin.","[{'from': 41, 'polarity': 'positive', 'term': 'yerga', 'to': 46}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
646#6,"Agar ofitsiant xizmat ko'rsatsa, qo'shimcha 15% xizmat haqi hisobga olinadi.","[{'from': 5, 'polarity': 'neutral', 'term': 'ofitsiant', 'to': 14}]","[{'category': 'narx', 'polarity': 'neutral'}]"
1311#1,"Assalomu alaykum, men sezamga bir marta kirgandim, u zerikarli edi, lekin bugun unaqa mas","[{'from': 22, 'polarity': 'conflict', 'term': 'sezamga', 'to': 29}]","[{'category': 'muhit', 'polarity': 'conflict'}]"
2802#2,"Demak, bularning barchasi ""FLORYA"" kafesida.","[{'from': 26, 'polarity': 'neutral', 'term': '""FLORYA"" kafesida', 'to': 43}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
727#2,"Porsiyalar katta, siz yarm portsoya olishingiz mumkin","[{'from': 0, 'polarity': 'positive', 'term': 'Porsiyalar', 'to': 10}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1785#1,Juda yaxshi oilaviy restoran !!,"[{'from': 20, 'polarity': 'positive', 'term': 'restoran', 'to': 28}]","[{'category': 'muhit', 'polarity': 'positive'}]"
1499#4,"O'ylaymanki, hatto eng tezkor odam ham baxtli bo'ladi.","[{'from': 30, 'polarity': 'neutral', 'term': 'odam', 'to': 34}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
1354#1,Butun oila bilan boradigan joy.,"[{'from': 27, 'polarity': 'neutral', 'term': 'joy', 'to': 30}]","[{'category': 'muhit', 'polarity': 'neutral'}]"
2490#2,Mazali va qimmat emas.,[],"[{'category': 'narx', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
2824#1,Axlat,[],"[{'category': 'boshqalar', 'polarity': 'negative'}]"
701#1,Ajoyib suhbat uchun rahmat,"[{'from': 7, 'polarity': 'positive', 'term': 'suhbat', 'to': 13}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
2067#1,Eng yaxshi turk taomlari va Toshkentdagi eng yaxshi restoranlardan biri.,"[{'from': 52, 'polarity': 'positive', 'term': 'restoranlardan', 'to': 66}
 {'from': 16, 'polarity': 'positive', 'term': 'taomlari', 'to': 24}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
